Pop	LP_frequency	T_frequency	N	Lat	Long	Data
Napolitans	0.46	0.265153077	99	40.33	14.75	P
Spanish	0.62	0.3835586	1718	40.511541	-3.702475	G
Spanish	0.64	0.4	62	40.511541	-3.702475	G
Sardinians	0.15	0.078045554	47	40.73	8.56	P
Sardinians	0.18	0.094461486	38	40.8	9.1	P
Italians	0.23	0.122503561	44	40.83	14.25	P
Italians	0.59	0.359687576	51	40.83	15.05	P
Western_Anatolia_and_European_Turkey	0.3	0.163339973	126	41.02	28.96	P
North_Coast_of_Turkey	0.31	0.169337614	64	41.5	34	P
PortugueseNorth	0.6	0.367544468	180	41.551781	-8.418422	G
PortugueseNorth	0.62	0.3835586	128	41.551781	-8.418422	G
Catalans	0.45	0.258380151	58	41.591159	1.520862	G
Macedonians	0.42	0.238422689	100	41.608637	21.745304	G
Central	0.26	0.139767473	440	41.9	12.48	G
Italians	0.82	0.575735931	65	41.9	12.48	P
SEuropean	0.17	0.088956642	66	41.9	12.483	G
Central	0.21	0.111180558	196	41.9	12.4833333	G
Italians(fromrome)	0.16	0.083484861	36	41.9035	12.4793	G
Italians	0.24	0.128220211	134	42.215003	13.913056	G
Georgians	0.15	0.078045554	108	42.31689	43.351631	G
Daghestansmixed	0.24	0.128220211	46	42.826	47.123	G
Druss	0.23	0.122503561	34	42.826	47.123	G
Nog	0.14	0.07263815	40	42.826	47.123	G
Galician	0.66	0.416904811	338	42.88	-8.55	P
Basques	0.89	0.668337521	48	43.395495	-1.454917	G
Basques	0.88	0.653589838	170	43.395495	-1.454917	G
Southern_French	0.58	0.35192593	55	43.7	7.25	P
CentralNorth	0.25	0.133974596	412	43.7666667	11.25	G
Adygei	0.22	0.116823913	34	44.600007	40.083327	G
French	0.71	0.461483519	85	44.93	5.82	P
Northern_Italians	0.49	0.285857157	208	45.05	7.67	P
Italians	0.25	0.133974596	20	45.47	9.2	P
Italians	0.38	0.212599213	42	45.47	9.9	P
NorthEastern	0.42	0.238422689	438	45.6	12.27	G
NorthItalian	0.59	0.359687576	28	45.698264	9.67727	G
Northern	0.41	0.231885425	1832	45.7	10	G
Seklers	0.64	0.4	130	45.86391	25.78694	G
Romanians	0.31	0.169337614	118	45.94317	24.966812	G
Italians	0.48	0.278889745	89	45.97	9.5	P
French	0.68	0.434314575	58	46.231819	2.21821	G
French	0.56	0.336675042	34	46.231819	2.21821	G
Hungarian	0.86	0.625834261	220	46.25	20.1666667	G
Hungarian	0.59	0.359687576	362	46.25	20.1666667	G
TyroleansBozen	0.28	0.151471863	80	46.498316	11.354708	G
Karnten_Austrian	0.8	0.552786405	46	46.62	14.61	P
TyroleansVinschgau	0.59	0.359687576	102	46.6333333	10.7666667	G
TyroleansGadertal	0.66	0.416904811	76	46.7166667	11.9166667	G
Eastern_Hungarian	0.71	0.461483519	70	47	19.08	P
Austrian	0.79	0.541742431	57	47.25	14	P
Tirol_Austrian	0.83	0.587689437	124	47.5	9.77	P
Northeastern_Hungarian	0.58	0.35192593	103	47.5	18.58	P
Hungarian	0.59	0.359687576	262	47.5	19.58	P
Austrian	0.81	0.564110106	32	47.75	13.5	P
Austrian	0.8	0.552786405	88	47.75	14	P
Austrian	0.75	0.5	118	47.75	15	P
Bayern_Germans	0.86	0.625834261	221	47.8	12.03	P
Matyo	0.63	0.391723747	172	47.82	20.58	P
Romai	0.44	0.251668523	113	47.95	21.72	P
Western_Hungarian	0.72	0.470849738	100	48	19.08	P
Oberosterreich_Austrian	0.84	0.6	45	48.3	14.6	P
Ukrainians	0.39	0.218975032	92	48.379433	31.16558	G
Ukrainians	0.45	0.258380151	74	48.379433	31.16558	G
Baden-Wurttemberg_Germans	0.76	0.510102051	136	48.4	9.5	P
Czech	0.82	0.575735931	17	49	17.5	P
French	0.76	0.510102051	102	49.75	5.63	P
Southern_French	0.43	0.245016556	40	49.75	6.63	P
Rheinland_and_Pfalz_Germans	0.86	0.625834261	182	50	8.27	P
Northern_French	0.78	0.530958424	76	50.25	6.13	P
Eastern_Germans	0.78	0.530958424	246	51.05	13.75	P
Germans	0.8	0.552786405	60	51.165691	10.451526	G
British	0.91	0.7	1894	51.22	-0.57	G
Sorbs	0.75	0.5	64	51.259172	14.310992	G
NorthernEuropeanancestry	0.94	0.755051026	102	51.511202	-0.119692	G
Polish	0.62	0.3835586	29	51.73	19	P
British_natives	0.95	0.776393202	75	51.75	-1.25	P
Dutch	0.84	0.6	92	51.82	5.86	G
Polish	0.71	0.461483519	400	51.919438	19.145136	G
Polish	0.5	0.292893219	446	51.919438	19.145136	G
Eastern_Polish	0.63	0.391723747	35	52.03	23.13	P
Polish	0.64	0.4	85	52.23	19.37	P
Polish	0.63	0.391723747	92	52.23	19.37	P
AshkenaziJews	0.16	0.083484861	96	52.25	21	G
Polish	0.71	0.461483519	21	52.25	21	P
White_British	0.97	0.826794919	67	52.47	-1.92	P
British	0.94	0.755051026	1368	52.707303	-2.755327	G
Northwest_Germans	0.91	0.7	341	53.08	8.8	P
Germans	0.87	0.639444872	60	53.18	8.02	P
Frisians	0.96	0.8	58	53.2013	5.799935	G
Native_Irish	0.96	0.8	50	53.33	-6.25	P
Irish	1	1	68	53.332721	-7.999693	G
Belarusians	0.41	0.231885425	100	53.709631	27.953446	G
Northeastern_Polish	0.59	0.359687576	34	53.83	22.35	P
British	0.94	0.755051026	2336	53.992123	-1.541815	G
NEuropean	0.85	0.612701665	110	54	15	G
Erzya	0.47	0.271989011	60	54.212315	43.584157	G
Erzya	0.27	0.145599625	42	54.212315	43.584157	G
Moksha	0.48	0.278889745	60	54.236944	44.068397	G
Moksha	0.65	0.408392022	32	54.236944	44.068397	G
Schleswig-Holstein_Germans	0.94	0.755051026	100	54.52	9.55	P
Danes	0.96	0.8	91	55.73	12.58	P
Russian	0.42	0.238422689	50	55.7522222	37.6155556	G
British	0.95	0.776393202	150	55.95	-3.2	P
British	0.97	0.826794919	1032	56.000777	-3.783521	G
Setus	0.51	0.3	100	57.96	27.64	P
Estonian	0.75	0.5	112	58.23	26.7	P
Orcadian(OrkneyIslands)	0.9	0.683772234	32	59.041749	-3.149807	G
Estonians	0.76	0.510102051	628	59.047778	26.4025	G
NorthernEuropean(Coriell)	0.89	0.668337521	74	59.85	17.63	G
Scandinavians	0.97	0.826794919	360	60	16	G
Swedes	0.93	0.735424869	784	60.027205	15.006519	G
Swedes	0.95	0.776393202	74	60.027205	15.006519	G
Rural_Finn	0.83	0.587689437	159	60.41	22.03	P
Norwegians	0.97	0.826794919	88	60.472025	8.468945	G
Finnish-speaking_Finns	0.92	0.717157288	91	60.6	21.43	P
Swedish-speaking_Finns	0.83	0.587689437	156	61.1	22.03	P
Komi-Izhems	0.38	0.212599213	56	61.67	50.81	P
Finns	0.83	0.587689437	638	62.9	27.68	P
Finnswestern	0.86	0.625834261	308	64	24	G
Russians(Northwest)	0.63	0.391723747	298	64.533333	40.533333	G
Finns	0.82	0.575735931	1876	65	28	G
Finnseastern	0.8	0.552786405	154	65	29	G
Nenets	0.14	0.07263815	178	66	49	G
Sami	0.5	0.292893219	60	67.865508	20.873047	G
Komi-Permiaks	0.5	0.292893219	112	68	31.5	P
Udmurtians	0.41	0.231885425	75	68	32.5	P
Saami	0.31	0.169337614	60	68.258009	26.193792	G
Kildin_Saami	0.52	0.307179677	50	68.5	32	P
Qashqai	0.1	0.051316702	20	29.616538	52.533901	G
Udmurts	0.55	0.329179607	60	56.833333	53.183316	G
Udmurtians	0.6	0.367544468	30	56.85	53.23	P
Iranians	0.19	0.1	42	32.427908	53.688046	G
Iranians	0.19	0.1	42	32.427908	53.688046	G
Komi	0.28	0.151471863	20	63.863054	54.831269	G
RussiansPerm	0.42	0.238422689	46	58.013847	56.248655	G
Uzbeks	0.08	0.040833695	76	41.377491	64.585261	G
Baluch	0.56	0.336675042	38	28.49092	65.093911	G
Balochi	0.59	0.359687576	50	30.209572	67.019672	G
Brahui	0.56	0.336675042	50	30.209572	67.019672	G
Brahui	0.47	0.271989011	60	30.209572	67.019672	G
Hazara	0.15	0.078045554	50	30.209572	67.019672	G
Hazara	0.08	0.040833695	28	30.209572	67.019672	G
Makrani	0.56	0.336675042	50	30.209572	67.019672	G
Sindhi	0.54	0.321767002	50	24.893501	67.028062	G
Sindhi	0.65	0.408392022	56	24.893501	67.028062	G
Uzbeks	0.07	0.035634924	30	35.4986111	67.6391667	G
Uzbeks	0.42	0.238422689	54	35.4986111	67.6391667	G
Mohannes	0.48	0.278889745	58	26	68	G
Parsi	0.26	0.139767473	58	26	68	G
ObUgric	0.06	0.030464029	40	65	68	G
MakraniBaluch	0.31	0.169337614	58	26.270902	68.033975	G
PashtunsAfghans	0.12	0.061916848	32	33.56	68.36	G
Pashtun	0.21	0.111180558	71	34.52	68.68	P
Tadjiks	0.14	0.07263815	80	36.1277778	68.7086111	G
Tadjiks	0.44	0.251668523	28	36.1277778	68.7086111	G
Khanty_(Northern)	0.29	0.157385023	115	61.04	69.02	P
Tajik	0.18	0.094461486	79	34.02	69.18	P
Hazara	0.2	0.105572809	10	34.52	69.18	P
Uzbek	0	0	16	35.02	69.18	P
Mixed_urban	0.24	0.128220211	34	34.52	69.68	P
Pathan	0.51	0.3	50	32.667476	69.859741	G
Pathan	0.51	0.3	56	32.667476	69.859741	G
Mansi	0.28	0.151471863	81	61.04	69.92	P
Lohana	0.298027757	0.162162162	37	22.3	70.79	G
Pasha-I	0.13	0.067262095	60	36	71	P
DawoodiBohra(Gujarat)	0.21	0.111180558	100	22.258843	71.192694	G
Sindhi	0.42	0.238422689	33	32.27	71.42	P
Kalash	0	0	50	35.839378	71.780041	G
Kalash	0	0	60	35.838625	71.780883	G
Punjabi	0.41	0.231885425	322	31.77	71.92	P
Kashmiri	0.3	0.163339973	27	32.77	71.92	P
Baluchistani	0.38	0.212599213	32	32.27	72.42	P
Meghwal	0.36	0.2	25	26.3	73.06	G
Punjabi	0.55	0.329179607	53	33.6	73.07	P
JatMuslim	0.715555556	0.466666667	45	22.31	73.17	G
Mixedcastes	0.717773438	0.46875	16	29.99	73.93	G
Kashmiri	0.23	0.122503561	40	33.886664	73.935978	G
Bhil	0.305555556	0.166666667	30	22.3	74.13	G
Bhil	0.305555556	0.166666667	15	23.5	74.4	G
Balti	0	0	46	35.952035	74.593192	G
Burusho	0.19	0.1	50	35.952035	74.593192	G
Burusho	0.04	0.020204103	60	35.952035	74.593192	G
Meena	0.409166852	0.231343284	67	26.45	74.7	G
Ramgarhia	0.4536862	0.260869565	23	30.74	74.78	G
KashmiriPandits	0.369377163	0.205882353	17	32.62	74.81	G
Koli	0.081597222	0.041666667	12	21.02	75.57	G
Northern_Indians	0.36	0.2	66	28.1	76.7	P
Mixedcastes	0.489795918	0.285714286	14	29.81	76.84	G
Ror	0.739012287	0.489130435	46	29.81	76.84	G
Barela	0.19	0.1	15	21.29	76.97	G
Korku	0.043950617	0.022222222	45	21.29	76.97	G
Nihali	0.049375	0.025	60	21.29	76.97	G
Manjhi	0.051939058	0.026315789	19	23.19	77.1	G
North	0.36	0.2	120	28.6	77.2	G
Northern_Indians	0.73	0.480384758	70	28.6	77.2	P
Kshatriya	0.4375	0.25	14	27.63	78.67	G
Sahariya	0.159722222	0.083333333	18	23.6	78.77	G
Tharu	0.215066174	0.114035088	57	29.38	79.5	G
Brahmin	0.36	0.2	15	29.62	79.67	G
Brahmin	0.4224	0.24	25	27.87	79.9	G
IndianShia	0.18	0.094461486	142	27.570589	80.098187	G
IndianSunni	0.19	0.1	164	27.570589	80.098187	G
West-Siberian	0.51	0.3	47	59.06	80.86	P
Tharu	0.32	0.175378875	80	28.831522	80.897455	G
North(Lucknow)	0.35	0.193774225	154	26.846511	80.946683	G
Kol	0.088842975	0.045454545	22	24.53	81.28	G
Kazak	0.09	0.046060799	188	43.9	81.3	G
Kazak	0	0	194	43.9	81.3	G
Ghasia	0.248888889	0.133333333	15	21.23	81.63	G
Birhor	0	0	16	21.23	81.63	G
Satnami	0.319375	0.175	20	21.23	81.63	G
Bahelia	0.057958478	0.029411765	17	22.1	82.14	G
Kol	0.202806122	0.107142857	14	28.1	82.5	G
Brahmin	0.481111749	0.279661017	59	25.75	82.7	G
Chamar	0.0975	0.05	10	25.28	82.95	G
Dharkar	0.159722222	0.083333333	12	25.28	82.95	G
Kharia	0	0	37	23.11	83.17	G
Tharu	0.19	0.1	20	27.7	83.45	G
Dusadh	0.092970522	0.047619048	21	26.49	83.79	G
Asur	0.047052154	0.023809524	21	24	84.1	G
Nepalese	0.57	0.344256148	38	28.394908	84.123631	G
Juang	0	0	14	21.28	84.4	G
Santhal	0	0	14	23	84.5	G
Mawasi	0.057958478	0.029411765	17	23	84.5	G
Baiga	0.049375	0.025	20	21.63	85.58	G
Dusadh	0	0	10	25.35	85.8	G
Ho	0	0	18	25.42	86.13	G
Murmu	0	0	12	23.67	86.15	G
Manjhi	0.075443787	0.038461538	13	23.67	86.15	G
Mahali	0.102493075	0.052631579	19	23.67	86.15	G
Oraon	0	0	29	21.93	86.71	G
Kazakh	0.24	0.128220211	195	43.8	87.58	P
Uygur	0.1	0.051316702	20	43.825645	87.616823	G
Daur	0.1	0.051316702	20	43.825652	87.616961	G
Bengali	0.133174792	0.068965517	29	22.57	88.37	G
Tibetans(Shigatse)	0	0	572	29.266667	88.883333	G
Garo	0.102493075	0.052631579	19	25.3	90.3	G
Khasi	0	0	19	25.5	91.5	G
Tibetans(Nagqu)	0	0	418	31.483333	92.066667	G
Mizo	0	0	13	23.4	92.44	G
NagaSema	0	0	22	25.35	94.1	G
AoNaga	0	0	28	26.15	94.3	G
ChakhesangNaga	0	0	24	25.66	94.5	G
Nishi	0	0	14	28.1	95.55	G
Khalka	0.05	0.025320566	114	47.380101	99.046642	G
Naxi	0	0	20	26.855059	100.22776	G
Tu	0	0	20	36.617144	101.778228	G
Dai	0	0	20	24.880182	102.832861	G
Lahu	0	0	20	24.880182	102.832861	G
Yizu	0	0	20	29.552106	103.765568	G
Han	0	0	90	34.861786	104.208347	G
Han	0	0	200	34.861786	104.208347	G
HanChinese	0.08	0.040833695	98	35.861786	104.208348	G
Miaozu	0	0	20	26.647661	106.630154	G
Mongols	0.08	0.040833695	52	47.9166667	106.9166667	G
Mongols	0.12	0.061916848	198	40.81	111.65	P
Tujia	0	0	20	28.228225	112.938794	G
Han	0	0	20	25.65102	115.51665	G
Han(coorddaFloydCoriell)	0	0	20	25.65102	115.51665	G
Northern_Han	0.08	0.040833695	248	39.93	116.39	P
She	0	0	20	27.08812	119.64777	G
Mongols	0.19	0.1	20	29.2	119.7	G
Mongols	0.05	0.025320566	164	29.2	119.7	G
Mongols	0	0	212	29.2	119.7	G
Chinese	0.12	0.061916848	50	25.02	121.45	P
Man	0	0	130	40.2	123.2	G
Man(Manchu)	0	0	216	40.2	123.2	G
NorthernHan	0	0	138	45.803546	126.534536	G
SouthKorean	0	0	46	35.566	127	G
Yakuts	0.11	0.056601887	110	62.033333	129.733331	G
Yakuts	0.12	0.061916848	50	62.033333	129.733333	G
Oroqen	0	0	20	53.5	131	G
Oroqen	0.02	0.010050506	90	53.5	131	G
Oroqen	0	0	136	53.5	131	G
Hezhen	0	0	20	47.7	132.5	G
Hezhen	0	0	154	47.7	132.5	G
Hezhen	0	0	196	47.7	132.5	G
JapanesefromOsaka	0	0	84	36.205618	138.241656	G
Japanese	0	0	62	35.65	138.58	G
Japanese	0.28	0.151471863	40	40.59	140.47	P
NorthYakuts	0.25	0.133974596	22	70.774202	146.185738	G
